SCHOOLNAME,SCHOOLCODE,YEAR,LEVEL,TYPE,WARD,LAT,LON,FORTYFORTY,ENROLLMENT,ATRISKENROLLMENT,ENROLLMENT,SPECIALTY,PERPUPILMIN,STABILIZATION,SPED,ELL,ATRISK,INCOME
Tubman ES ,328,2015,es,Regular school,1,38.92919857,-77.0294433,FALSE,527,332,5901873,360468,881144,700910,2156484,1089309,2378780,244528
Turner ES ,329,2015,es,Regular school,8,38.84763644,-76.98031323,TRUE,426,332,3047178,673506,590862,311832,809400,1039440,2500292,592140
Tyler ES ,330,2015,es,Regular school,6,38.88108436,-76.99204166,TRUE,550,221,4180000,903100,11000,953700,1922800,820600,1593631,751850
Walker-Jones EC ,332,2015,campus,Regular school,6,38.90419198,-77.01391569,TRUE,461,331,3870095,173336,772636,556888,1934356,3227,2646014,225890
Washington Met HS ,474,2015,hs,Regular school,1,38.92043047,-77.01558101,TRUE,304,,3081648,171456,407360,27056,960640,412528,0,419216
Watkins ES ,333,2015,es,Regular school,6,38.88346701,-76.98999677,FALSE,528,113,3718176,307824,391776,843744,745536,732336,803317,676368
West EC ,336,2015,campus,Regular school,4,38.95136741,-77.03225306,FALSE,273,93,2022657,257985,173628,120666,1236144,380289,698988,165165
Wheatley EC ,335,2015,campus,Regular school,5,38.90411774,-76.98850077,TRUE,440,343,4585680,761640,810480,872960,1260160,837760,2516248,623040
Whittier EC ,338,2015,campus,Regular school,4,38.96585727,-77.0192386,FALSE,348,195,3958500,516084,153468,368184,734280,336168,1407510,140244
Wilson HS ,463,2015,hs,Vocational Shared Time,3,38.95015672,-77.0777757,FALSE,1708,343,18965632,696864,3204208,129808,4044544,245952,2457595,49532
"Woodson, H.D. HS ",464,2015,hs,Vocational Shared Time,7,38.89678662,-76.92232826,TRUE,729,499,6250446,1107351,386370,594135,3357045,1698570,3812360,743580
Youth Services Center ,861,2015,campus,Alternative Education School,5,38.91213959,-76.98858584,FALSE,70,,757820,49210,21980,96810,344190,81900,0,100940
Aiton ES ,202,2016,es,Regular school,7,38.89700181,-76.93370092,TRUE,245,180,2826320,166110,237650,349125,906255,519155,1397160,29890
Amidon-Bowen ES ,203,2016,es,Regular school,6,38.8795154,-77.0181253,TRUE,372,271,3536604,290904,617520,366420,1624524,535308,2026538,70308
Anacostia HS ,450,2016,hs,Regular school,8,38.87008406,-76.98307725,TRUE,774,612,8560440,660996,850626,1308060,3666438,129258,4808484,916416
Ballou HS ,452,2016,hs,Vocational Shared Time,8,38.83938266,-77.00097526,TRUE,655,470,4976690,1200615,268550,224665,2192940,424440,3578580,480115
Ballou STAY ,462,2016,hs,Alternative Education School,8,38.83938266,-77.00097526,FALSE,485,,5723000,604795,91665,952055,1786255,958360,0,395760
Bancroft ES ,204,2016,es,Regular school,1,38.93431836,-77.04055344,FALSE,504,161,4266360,409248,795312,274680,2086560,413784,1239539,712152
Barnard ES ,205,2016,es,Regular school,4,38.94823095,-77.01777708,FALSE,605,268,5706965,332750,797995,1203950,1387265,1129535,2046716,2420
Beers ES ,206,2016,es,Regular school,7,38.86434984,-76.95560475,FALSE,435,259,3798855,135720,374535,73080,731235,179655,1984458,421950
Benjamin Banneker HS ,402,2016,hs,Magnet School,1,38.92383276,-77.02397697,FALSE,445,100,4025025,544235,631010,311945,1860545,770295,702300,454790
Brent ES ,212,2016,es,Regular school,6,38.88480121,-77.00145985,FALSE,363,20,4349466,346302,242121,73326,1096986,382965,145020,306009
Brightwood EC ,213,2016,campus,Regular school,4,38.96053573,-77.03068885,FALSE,635,291,6466205,320040,1120140,156845,2327275,231775,2101311,549275
Brookland EC @ Bunker Hill ,346,2016,campus,Regular school,5,38.94201247,-76.98499564,FALSE,232,106,1653232,426416,178640,13456,338256,388600,776450,184672
Browne EC ,404,2016,campus,Regular school,5,38.90259888,-76.97066706,TRUE,348,236,3168192,58812,143028,404028,533484,219936,1873368,162864
Bruce-Monroe ES @ Park View ,296,2016,es,Regular school,1,38.9344141,-77.02118567,FALSE,470,255,4326820,488800,148990,267900,1668030,990760,1785000,142880
Burroughs EC ,220,2016,campus,Regular school,5,38.93350266,-76.97845637,FALSE,272,126,3061360,540192,326400,174352,626960,315792,963270,193936
Burrville ES ,221,2016,es,Regular school,7,38.90056577,-76.92445918,FALSE,345,191,2542995,103155,94875,295320,1075710,484035,1497249,168705
C.W. Harris ES ,247,2016,es,Regular school,7,38.88359883,-76.9261155,TRUE,279,194,2197683,457839,519498,3906,1117395,143964,1367118,26505
Capitol Hill Montessori @ Logan ,360,2016,campus,Regular school,6,38.89853031,-77.00256647,FALSE,330,33,3814470,312840,345840,66990,760320,40260,240174,459690
Cardozo EC ,454,2016,campus,Vocational Shared Time,1,38.92217286,-77.02847069,TRUE,717,462,8413995,783681,1080519,1325733,878325,1113501,3349038,96795
CHOICE Academy ,947,2016,hs,Alternative Education School,5,38.9135031,-77.00677594,FALSE,10,,83430,15010,12040,1730,44390,230,0,550
Cleveland ES ,224,2016,es,Regular school,1,38.91514529,-77.02270718,FALSE,311,159,2550511,339301,472720,351741,818241,472720,1173579,280833
Columbia Heights EC ,442,2016,campus,Magnet School,1,38.92954477,-77.03585831,FALSE,1275,538,10017675,1190850,89250,2497725,4433175,465375,4235136,705075
Coolidge HS ,455,2016,hs,Vocational Shared Time,4,38.96728457,-77.01957835,TRUE,410,239,4869570,218120,660920,255430,2009410,398930,1691881,560470
Deal MS ,405,2016,ms,Regular school,3,38.95289674,-77.07519907,FALSE,1310,111,12839310,1110880,1202580,2240100,2806020,476840,839382,529240
Drew ES ,231,2016,es,Regular school,7,38.89599397,-76.91992701,TRUE,169,130,1542632,155818,144495,260598,295750,62868,1015170,200265
Dunbar HS ,467,2016,hs,Regular school,5,38.90762655,-77.01269148,TRUE,625,411,7369375,753750,80625,792500,3035625,1558750,2981394,199375
Eastern HS ,457,2016,hs,Vocational Shared Time,6,38.89040266,-76.97968429,FALSE,1021,609,10958393,2008307,1747952,1394686,1804107,2094071,4339125,1295649
Eaton ES ,232,2016,es,Regular school,3,38.93272707,-77.06582114,FALSE,477,28,4337361,409266,477000,675432,2161287,262350,211876,523269
Eliot-Hine MS ,407,2016,ms,Regular school,6,38.89243149,-76.97897792,TRUE,270,191,1981530,140130,115290,360450,872370,138780,1377683,95310
Ellington School of the Arts ,471,2016,hs,Magnet School,2,38.91344638,-77.07030757,FALSE,515,110,5663455,1010945,288915,11845,1667570,635510,860310,323935
Garfield ES ,238,2016,es,Regular school,8,38.85173338,-76.97080478,TRUE,276,213,2696520,414000,423384,148212,1196736,44712,1569810,258060
Garrison ES ,239,2016,es,Regular school,2,38.91390129,-77.02861256,FALSE,289,155,2068373,346800,116178,93636,849082,693311,1226670,78608
H.D. Cooke ES ,227,2016,es,Regular school,1,38.92394309,-77.03881058,TRUE,413,222,3040919,59059,814023,204022,1727579,189154,1710288,76818
Hardy MS ,246,2016,ms,Regular school,2,38.91550903,-77.0686139,FALSE,400,108,4400000,541600,496000,502800,472800,836400,834948,58800
Hart MS ,413,2016,ms,Regular school,8,38.83773787,-76.99717875,TRUE,574,438,5704412,946526,213528,224434,800156,260596,3069066,521766
Hearst ES ,258,2016,es,Regular school,3,38.94072265,-77.07195522,FALSE,293,43,2364803,424264,86435,252273,528279,706130,339743,407856
Hendley ES ,249,2016,es,Regular school,8,38.82898591,-76.99918485,FALSE,533,443,5847010,44772,492492,422669,1886287,1102244,3202447,586300
Houston ES ,251,2016,es,Regular school,7,38.90541532,-76.92994765,FALSE,282,191,2801670,170892,296382,482502,700488,568230,1371762,235470
Hyde-Addison ES ,252,2016,es,Regular school,2,38.90801957,-77.06453782,FALSE,341,22,2537381,634942,610731,648241,861707,407836,165022,498542
Incarcerated Youth Program ,480,2016,,,,,,FALSE,24,,252888,25968,25416,10056,33744,47736,0,2184
J.O. Wilson ES ,339,2016,es,Regular school,6,38.902758,-76.99658902,FALSE,462,224,3399858,534072,547008,478170,539616,911064,1714272,264726
Janney ES ,254,2016,es,Regular school,3,38.94755042,-77.08099483,FALSE,674,8,5487034,1278578,283754,690850,1279926,789254,61672,538526
Jefferson MS ,433,2016,ms,Regular school,6,38.87987093,-77.02291066,FALSE,307,192,2398284,420283,309456,418748,1089543,321429,1487808,451597
Johnson MS ,416,2016,ms,Regular school,8,38.85133691,-76.98370368,TRUE,283,215,2075522,109804,160461,389125,1207844,343279,1629485,90277
Kelly Miller MS ,421,2016,ms,Regular school,7,38.89331541,-76.93245515,TRUE,580,418,6733220,1035300,1048060,312620,1988240,734860,3111592,321320
Ketcham ES ,257,2016,es,Regular school,8,38.86604269,-76.98362116,TRUE,318,247,3203850,385734,382872,434070,596886,6678,1747772,345666
Key ES ,272,2016,es,Regular school,3,38.92680184,-77.10052732,FALSE,393,11,4040433,785214,501468,57378,590679,198072,82962,255450
Kimball ES ,259,2016,es,Regular school,7,38.88308309,-76.95757271,TRUE,345,246,2564730,634455,177675,533370,716565,406065,1816464,466440
"King, M.L. ES ",344,2016,es,Regular school,8,38.84244319,-76.99823899,TRUE,412,334,3806468,561144,13184,589160,750252,450316,2649622,534776
Kramer MS ,417,2016,ms,Regular school,8,38.8712864,-76.9801713,TRUE,371,293,3496304,477848,257474,220374,1750007,346143,2092899,197372
Lafayette ES ,261,2016,es,Regular school,4,38.96662755,-77.06803712,FALSE,700,24,7616700,788900,123200,1260000,2662100,300300,182784,981400
Langdon EC ,262,2016,campus,Regular school,5,38.92470416,-76.97708185,FALSE,338,192,3327272,611104,194350,46982,454272,60164,1409856,10140
Langley ES ,370,2016,es,Regular school,5,38.91516879,-77.00588662,FALSE,291,167,2330037,217959,557265,433881,1422699,258990,1327984,133860
LaSalle-Backus EC ,264,2016,campus,Regular school,4,38.95997214,-76.99988254,TRUE,357,207,2929899,590121,363426,505869,1047081,438753,1546083,265608
Leckie ES ,266,2016,es,Regular school,8,38.82819678,-77.01289191,FALSE,402,212,4510842,639984,766614,268134,1366800,935454,1588728,76380
Ludlow-Taylor ES ,271,2016,es,Regular school,6,38.89874414,-76.99649249,FALSE,336,125,3946992,136752,337008,656208,1620528,356160,919875,203280
Luke Moore Alternative HS ,884,2016,hs,Vocational Shared Time,5,38.93227638,-76.99231633,TRUE,382,,4150430,510734,617312,450760,409122,358698,0,51188
Malcolm X ES ,308,2016,es,Regular school,8,38.8416454,-76.98339857,TRUE,218,166,2428956,392182,18530,242198,923884,219526,1194204,204920
Mamie D. Lee ,265,2016,campus,Special Education school,5,38.95251344,-77.00722496,FALSE,62,33,598548,108748,3720,78244,108252,143716,257598,57288
Mann ES ,273,2016,es,Regular school,3,38.93429231,-77.08782619,FALSE,299,2,3477968,125580,579761,326209,1270451,650325,15698,424580
Marie Reed ES ,284,2016,es,Regular school,1,38.91911214,-77.04082224,FALSE,391,139,4071874,209185,461380,313191,1593325,582199,984815,349163
Maury ES ,274,2016,es,Regular school,6,38.89218519,-76.9886575,FALSE,362,72,3801362,542276,390236,586078,1432434,856854,532296,112944
McKinley Tech EC ,458,2016,campus,Magnet School,5,38.91522012,-77.00412244,FALSE,910,345,8330140,272090,1516060,174720,2183090,2090270,2521950,920010
Miner ES ,280,2016,es,Regular school,6,38.89737602,-76.98290432,FALSE,412,297,4410048,307764,706580,82400,1344356,715644,2316897,522416
Moten ES ,285,2016,es,Regular school,8,38.856656,-76.98294368,TRUE,400,319,4631200,782000,239200,508400,978800,588000,2358048,520800
Murch ES ,287,2016,es,Regular school,3,38.95293352,-77.07007921,FALSE,693,25,7841988,1020096,945252,1123353,2932083,1303533,176925,915453
Nalle ES ,288,2016,es,Regular school,7,38.88595442,-76.93079651,TRUE,380,274,4163660,711740,334780,174040,422180,319580,1920466,414200
Noyes EC ,290,2016,campus,Regular school,5,38.92517798,-76.99184288,TRUE,308,172,3602368,197428,174636,298760,331408,746284,1373248,144144
Orr ES ,291,2016,es,Regular school,8,38.87179716,-76.97448402,TRUE,372,268,4354260,213156,56544,720192,606732,930000,1953720,63612
Oyster-Adams Bilingual ,292,2016,campus,Regular school,3,38.92359583,-77.05720337,FALSE,657,44,4708062,1089306,1116243,1175373,1140552,1244358,313324,184617
Patterson ES ,294,2016,es,Regular school,8,38.82696636,-77.00848471,TRUE,374,290,2864466,347820,336600,331364,1654576,673574,2077560,270776
Payne ES ,295,2016,es,Regular school,6,38.88517068,-76.98498373,FALSE,279,152,2834640,366048,289881,165447,357678,522846,1117352,284301
Peabody ES ,301,2016,es,Regular school,6,38.89289632,-76.99985799,FALSE,229,16,2131532,367774,397773,74883,1076529,239305,120400,179307
Phelps ACE HS ,478,2016,hs,Magnet School/Vocational Shared Time,5,38.90199202,-76.97189763,FALSE,354,166,3632040,414180,65490,15222,1012794,256296,1284840,183018
Plummer ES ,299,2016,es,Regular school,7,38.8872402,-76.93993468,FALSE,434,335,3248924,713062,834148,337218,831110,1082830,2661910,23870
Powell ES ,300,2016,es,Regular school,4,38.94153434,-77.03122742,FALSE,435,194,5189550,262305,261435,346695,1245840,906540,1551224,597690
Randle Highlands ES ,316,2016,es,Regular school,7,38.87009174,-76.96435628,FALSE,328,212,2483288,524144,85280,52152,1147344,701592,1672892,86264
Raymond EC ,302,2016,campus,Regular school,4,38.93581121,-77.02643266,FALSE,553,252,5150642,377699,853279,1098258,2256240,488852,1875132,763693
Roosevelt HS ,459,2016,hs,Vocational Shared Time,4,38.94360856,-77.02777641,TRUE,432,301,3406320,259200,791424,311904,2068848,487728,2376395,98928
Roosevelt STAY ,456,2016,,Vocational Shared Time,4,38.94360856,-77.02777641,FALSE,655,,6173375,99560,820715,674650,1091230,561990,0,315055
Ross ES ,305,2016,es,Regular school,2,38.91239115,-77.03966214,FALSE,168,13,2003064,66360,31416,102144,839328,233520,93782,105336
